train,stations
train_1,"['Etten-Leur', 'Breda']"
train_2,"['Lelystad Centrum', 'Almere Centrum']"
train_3,"['Beverwijk', 'Castricum']"
train_4,"['Etten-Leur', 'Breda']"
train_5,"['Castricum', 'Alkmaar']"
train_6,"['Rotterdam Blaak', 'Rotterdam Alexander']"
train_7,"['Beverwijk', 'Castricum']"
train_8,"['Rotterdam Centraal', 'Schiedam Centrum']"
train_9,"['Beverwijk', 'Castricum']"
train_10,"['Deventer', 'Apeldoorn']"
train_11,"['Den Haag Centraal', 'Gouda', 'Alphen a/d Rijn']"
train_12,"['Amsterdam Centraal', 'Amsterdam Sloterdijk']"
train_13,"['Amsterdam Amstel', 'Amsterdam Centraal']"
train_14,"['Zutphen', 'Dieren']"
train_15,"['Dieren', 'Zutphen']"
train_16,"['Vlissingen', 'Roosendaal']"
train_17,"['Zaandam', 'Amsterdam Sloterdijk']"
train_18,"['Den Haag Centraal', 'Leiden Centraal']"
train_19,"['Almelo', 'Hengelo']"
train_20,"['Dieren', 'Zutphen']"
score,1531.752808988764
